region	farm	housing	ownership	residential_area	householder_rel	sex	age_code	marrige_status	education	learn_status	preschool_child	preschool_child_num	economic	sideline	hour_dayjob	hour_sideline	industry	job	job_status	wage_earner_work_form	offday	monthly_income
37	2	2	1	73	2	2	3	2	3	1	1	1	1	2	30	-1	10	9	1	2	3	2
37	2	2	1	60	2	2	3	2	5	1	1	2	1	2	45	-1	10	2	1	1	3	8
37	2	2	1	60	2	2	3	2	5	1	1	1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	3	33	9	2	1	1	5	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	2	1	85	3	1	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	73	3	1	1	1	1	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	2	56	3	1	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	40	3	1	3	1	4	1	2	-1	1	2	72	-1	10	3	1	1	1	4
37	2	1	1	99	1	1	5	2	4	3	2	-1	1	2	40	-1	7	1	1	1	3	11
37	2	2	1	74	1	1	3	2	4	5	1	1	1	2	42	-1	10	7	1	1	3	6
37	2	2	1	85	1	1	4	2	4	5	2	-1	1	2	46	-1	9	3	1	1	3	9
37	2	1	1	79	1	1	3	2	3	1	2	-1	1	2	30	-1	3	8	3	-1	5	5
37	2	4	1	56	2	2	3	2	3	1	2	-1	1	2	40	-1	4	3	1	1	3	3
37	2	1	1	66	1	2	6	3	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	1	1	1	66	1	1	6	2	1	1	2	-1	1	2	30	-1	1	6	3	-1	5	3
37	2	2	1	74	2	2	5	2	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	39	1	2	6	3	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	3	1	65	1	2	3	4	3	1	2	-1	1	2	60	-1	6	4	1	1	1	4
37	1	1	1	66	1	2	6	2	0	-1	2	-1	1	1	72	8	1	6	3	-1	5	4
37	2	1	3	60	1	1	4	2	3	1	1	1	1	2	63	-1	8	7	1	1	5	3
37	1	1	1	66	1	1	6	2	0	-1	2	-1	1	2	10	-1	1	6	3	-1	5	3
37	1	1	1	99	1	1	6	2	2	1	2	-1	1	2	40	-1	1	6	3	-1	5	5
37	2	2	1	60	1	1	3	2	4	4	1	1	1	2	48	-1	2	3	1	1	1	7
37	2	3	1	86	2	2	3	2	3	1	1	1	1	2	35	-1	6	9	1	2	5	2
37	2	1	1	43	2	2	5	2	1	1	2	-1	1	2	40	-1	9	9	1	1	3	3
37	2	2	1	56	1	1	4	2	3	1	2	-1	1	2	54	-1	3	7	1	1	6	5
37	2	1	1	79	1	1	5	2	2	5	2	-1	1	1	15	10	2	8	3	-1	5	9
37	2	2	1	60	2	2	3	2	3	1	2	-1	1	2	40	-1	7	5	3	-1	3	5
37	2	2	2	56	3	2	1	1	1	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	79	2	2	4	2	3	1	2	-1	1	2	12	-1	2	8	4	-1	5	1
37	2	2	3	51	1	1	3	1	5	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	5
37	2	1	1	76	1	2	6	3	0	-1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	2	1	86	3	2	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	3	75	3	2	2	1	5	1	2	-1	1	2	40	-1	10	2	1	1	2	3
37	2	2	1	73	1	2	3	2	5	2	2	-1	1	1	40	12	10	2	3	-1	3	5
37	2	2	2	56	1	1	3	2	3	1	2	-1	1	2	56	-1	3	2	1	1	4	5
37	2	2	1	73	3	1	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	3	23	1	2	5	4	2	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	1	1	1	83	1	1	5	2	5	1	2	-1	1	2	63	-1	1	6	3	-1	5	5
37	2	2	1	60	1	1	3	2	3	1	1	1	1	2	45	-1	8	1	1	1	3	7
37	2	1	1	46	1	1	6	3	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	2	1	60	1	1	5	2	3	1	2	-1	1	2	54	-1	2	8	1	1	1	4
37	2	2	1	86	3	2	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	89	6	1	6	2	1	1	2	-1	1	2	9	-1	9	3	1	1	5	2
37	2	2	3	73	2	1	3	2	4	1	1	1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	86	2	2	4	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	83	1	1	6	2	2	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	3	1	86	1	1	4	2	3	1	1	1	1	2	56	-1	4	5	3	-1	5	5
37	2	2	1	60	2	2	3	2	3	1	1	2	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	60	3	2	1	1	3	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	53	1	2	6	3	2	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	2	2	1	83	1	1	4	2	3	1	2	-1	1	2	40	-1	9	3	1	1	3	11
37	2	1	1	79	1	2	5	3	2	1	2	-1	1	2	40	-1	2	8	1	1	3	5
37	2	1	1	60	1	2	6	3	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	2	1	1	79	2	2	6	2	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	2	56	3	1	1	1	1	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	83	2	2	6	2	2	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	66	1	2	6	3	0	-1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	33	1	2	6	3	1	5	2	-1	1	2	45	-1	9	9	1	1	3	3
37	2	2	1	60	1	1	6	2	3	1	2	-1	1	2	40	-1	8	3	1	1	3	5
37	2	2	1	60	3	1	2	1	4	1	2	-1	1	2	48	-1	8	3	1	1	2	3
37	2	1	1	79	2	2	3	2	3	1	2	-1	1	2	60	-1	10	4	3	-1	1	5
37	2	1	1	79	1	1	6	2	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	2	1	1	69	4	1	3	2	4	1	1	1	1	2	70	-1	6	4	4	-1	5	1
37	2	1	1	33	1	1	6	2	1	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	2	1	1	33	1	1	6	2	1	5	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	5	1	40	3	2	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	1	43	3	1	2	1	3	1	2	-1	1	2	56	-1	6	4	1	1	4	4
37	2	1	1	20	1	1	6	2	0	-1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	2
37	2	2	1	83	1	1	4	2	4	1	2	-1	1	2	50	-1	10	7	1	1	3	7
37	2	2	2	56	1	1	4	2	3	1	2	-1	1	2	54	-1	5	8	1	1	1	5
37	2	1	1	79	3	1	1	1	1	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	1	3	75	1	1	6	2	3	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	2	4	1	56	3	2	1	1	1	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	1	1	1	83	2	2	5	2	3	1	2	-1	1	2	60	-1	1	6	4	-1	5	3
37	2	2	2	56	3	2	1	1	2	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	1
37	2	2	1	86	1	2	3	2	5	1	1	1	1	2	46	-1	9	2	1	1	3	4
37	2	2	1	60	1	2	4	1	3	1	2	-1	1	2	44	-1	5	3	1	1	2	5
37	2	2	3	51	1	2	6	3	2	1	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	1	1	1	66	1	1	6	3	1	5	2	-1	1	2	10	-1	1	6	3	-1	5	2
37	2	1	3	33	1	2	2	1	5	2	2	-1	2	-1	-1	-1	-1		-1	-1	-1	3
37	2	1	1	79	3	1	2	1	5	4	2	-1	1	2	15	-1	2	8	4	-1	5	1
